rank,year,title,keyword,author.no,affl.no,max_dist(m)
58,2017,Greater temperature sensitivity of plant phenology at colder sites: implications for convergence across northern latitudes,Arctic; Cassiope tetragona; climate change; climatic gradient; flowering; International Tundra Experiment; latitude; tundra,29,26,18610389.5229718
59,2018,Local loss and spatial homogenization of plant diversity reduce ecosystem multifunctionality,NA,43,37,18609694.2601137
60,2015,Plant diversity predicts beta but not alpha diversity of soil microbes across grasslands worldwide,Aboveground-belowground interactions; Archaea; Bacteria; Fungi; Grasslands; Microbial biogeography; Soil biodiversity,27,22,18582050.1978786
61,2014,A global analysis of the impacts of urbanization on bird and plant diversity reveals key anthropogenic drivers,Anthropogenic activities; Density of species; Global biodiversity; Native species; Urbanization,24,24,18569277.3899264
62,2009,Distribution and ecological role of the non-native macroalga Gracilaria vermiculophylla in Virginia salt marshes,Non-native macroalgae; Salt marsh Gracilaria vermiculophylla; Spartina alterniflora,4,4,18567689.7422186
63,2017,A Prototype System for Multilingual Data Discovery of International Long-Term Ecological Research (ILTER) Network Data,Data sharing; Ontology; Thesaurus; Translation; Web services,16,13,18567689.7422186
64,2007,Stress tolerance of the invasive macroalgae Codium fragile and Gracilaria vermiculophylla in a soft-bottom turbid lagoon,Growth; Invasive macroalgae; Lagoon; Traits,2,2,18546544.6656388
65,2015,Constraints to nitrogen acquisition of terrestrial plants under elevated CO2,Carbon dioxide; Crops; Diversity; FACE; Fertilization; Forest; Grassland; Growth dilution; Meta-analysis; Nitrogen,10,9,18545564.9324851
66,2011,Foraging behavior of heritage versus recently introduced herbivores on desert landscapes of the American Southwest,Chihuahuan desert; Criollo cattle; Gps monitoring; Herbivory; Landscape foraging patterns; Resource selection functions,6,4,18537744.0352488
67,2017,Science synthesis for management as a way to advance ecosystem restoration: evaluation of restoration scenarios for the Florida Everglades,ecologic benefits; knowledge exchange; restoration process; socioecological,6,4,18535034.2548079
68,2017,Tree islands: the bellwether of Everglades ecosystem function and restoration success,decompartmentalization; ecosystem processes; hydrology; restoration scenarios; wetlands,3,2,18531802.4654845
69,2011,A global experiment suggests climate warming will not accelerate litter decomposition in streams but might reduce carbon sequestration,Carbon cycle; Climate change; Detritivores; Global analysis; Latitudinal gradient; Litter decomposition; Microbial decomposers; Streams; Temperature,35,24,18521504.4281532
70,2017,The Synthesis of Everglades Restoration and Ecosystem Services (SERES): a case study for interactive knowledge exchange to guide Everglades restoration,boundary organization; infographics; knowledge exchange; nonscientists; science communication,5,4,18517352.040849
71,2014,The importance of rare species: a trait-based assessment of rare species contributions to functional diversity and possible ecosystem function in tall-grass prairies,Biodiversity-ecosystem functioning; Community assembly; Functional diversity; Grassland; Species loss; Traits,11,7,18503319.6932385
72,2015,Global effects of soil and climate on leaf photosynthetic traits and rates,Least-cost theory of photosynthesis; Nitrogen; Phosphorus; Photosynthesis; Plant functional traits; Soil fertility; Soil pH; Stomatal conductance,12,14,18495918.6613968
73,2011,Global diversity in light of climate change: the case of ants,Aridity; Biodiversity; Biogeography; Formicidae; Species richness; Temperature,21,19,18490635.6333151
74,2015,Anthropogenic nitrogen deposition predicts local grassland primary production worldwide,Anthropocene; Bayesian analysis; Hierarchical regression; Nitrogen deposition; Nutrient Network; Primary production,24,20,18471667.0578236
75,2018,Biotic responses buffer warming-induced soil organic carbon loss in Arctic tundra,acclimation; biotic responses; carbon modeling; climate warming; data assimilation; permafrost; soil carbon,19,14,18429908.9074744
76,2007,Factors Contributing to the Cultural and Spatial Variability of Landscape Burning by Native Peoples of Interior Alaska,Alaska; Gwich'in; Human-fire interaction; Indigenous Koyukon; Land management; Landscape burning,8,6,18411173.3997219
77,2014,Changing forest water yields in response to climate warming: results from long-term experimental watershed sites across North America,Budyko curve; Catchments; Climate change; Elasticity; Evapotranspiration; Forest; Precipitation; Resilience; Water yield,21,20,18404166.8308907
78,2008,Climate-mediated changes to mixed-layer properties in the Southern Ocean: assessing the phytoplankton response,NA,6,5,18398342.5144871
79,2010,Projected 21st century decrease in marine productivity: a multi-model analysis,NA,12,8,18398342.5144871
80,2013,Sea-air CO2 fluxes in the Southern Ocean for the period 1990-2009,NA,17,17,18398342.5144871
81,2014,The iron budget in ocean surface waters in the 20th and 21st centuries: projections by the Community Earth System Model version 1,NA,7,4,18398342.5144871
82,2015,Effect of continental shelf canyons on phytoplankton biomass and community composition along the western Antarctic Peninsula,Adélie penguin habitat; Canyons; Diatoms; Phytoplankton; Remote sensing; Sea ice; Western Antarctic Peninsula,9,7,18398342.5144871
83,2000,Modelling carbon responses of tundra ecosystems to historical and projected climate: sensitivity of pan-Arctic carbon storage to temporal and spatial variation in climate,Carbon storage; Climate change; Net ecosystem production; Pan-Arctic; Terrestrial ecosystem model; Tundra ecosystems,7,5,18398342.5144871
84,2014,The seasonal timing of warming that controls onset of the growing season,Budbreak; Climate change; Phenology; Warming experiments,4,6,18398342.5144871
85,2014,"Tree phenology responses to winter chilling, spring warming, at north and south range limits",Degree-day models; Forests; Hidden Markov model; Phenology; Warming,4,6,18398342.5144871
86,1998,Modeled responses of terrestrial ecosystems to elevated atmospheric CO2: A comparison of simulations by the biogeochemistry models of the Vegetation/Ecosystem Modeling and Analysis Project (VEMAP),Biogeochemistry; Carbon dioxide; Global change; Net primary production (NPP); Vegetation/Ecosystem Modeling and Analysis Project (VEMAP),27,17,18398342.5144871
87,2012,"Soil bacterial communities of a calcium-supplemented and a reference watershed at the Hubbard Brook Experimental Forest (HBEF), New Hampshire, USA",Bacterial diversity; Calcium amendment; Forest soil; Hubbard Brook; PhyloChip microarray,7,6,18349245.1082868
88,2017,Long-term agricultural management does not alter the evolution of a soybean-rhizobium mutualism,Bradyrhizobium japonicum; legume-rhizobium mutualism; nitrogen; rapid evolution; resource mutualism; soybean; symbiosis; tillage,3,3,18300839.8074688
89,2004,Effects of nitrogen deposition and insect herbivory on patterns of ecosystem-level carbon and nitrogen dynamics: Results from the CENTURY model,Carbon cycle; CENTURY model; Herbivory; Nitrogen deposition; SOC,5,3,18284735.363398
90,2014,Rarefaction and extrapolation with Hill numbers: a framework for sampling and estimation in species diversity studies,Abundance data; Diversity; Extrapolation; Hill numbers; Incidence data; Interpolation; Prediction; Rarefaction; Sample coverage; Species richness,7,5,18280957.9897956
91,1997,Open-top Designs for Manipulating Field Temperature in High-Latitude Ecosystems,Climate change; ITEX; Passive warming devices; Temperature enhancement; Tundra,12,9,18270763.0044529
92,2011,Effects of short-term warming on low and high latitude forest ant communities,Climate change; Community composition; Foraging; Formicidae; Warming experiment,7,6,18267911.5963054
93,2001,Water in a changing world,Aquatic environment; Climate change; Global hydrological cycle; Renewable fresh-water supply; Water policy; Water resources,7,7,18263424.1633569
94,2013,"A growing concern? Examining the influence of lawn size on residential water use in suburban Boston, MA, USA",GEOMOD; Lawns; Plum Island Ecosystem; Suburbanization; Water use,7,3,18263424.1633569
95,2008,Deforestation causes increased dissolved silicate losses in the Hubbard Brook Experimental Forest,Amorphous silica; Biogeo chemistry; Deforestation; Hubbard Brook; Mass balance; Stream water export,6,5,18249409.4900113
96,2008,Soil factors predict initial plant colonization on Puerto Rican landslides,Organic matter; Primary succession; Sediment runoff; Slope stability; Soil nitrogen; Soil particle size,5,5,18241452.2738306
97,2014,"A synthesis of methane emissions from 71 northern, temperate, and subtropical wetlands",Bog; Carbon; Disturbance; Fen; Graminoids; Peat; Swamp; Temperature; Vegetation; Water table,19,17,18227683.5938311
98,2014,Macrosystems ecology: understanding ecological patterns and processes at continental scales,NA,19,16,18222298.0584198
99,2004,Carbon and nitrogen stoichiometry and nitrogen cycling rates in streams,Carbon; Carbon:Nitrogen ratio; Nitrogen; Stoichiometry; Streams,12,11,18209250.6049404
100,2001,Inter-biome comparison of factors controlling stream metabolism,Inter-biome; Metabolism; Primary production; Respiration; Stream,13,14,18209250.6049404
101,2018,Global change‐driven effects on dissolved organic matter composition: Implications for food webs of northern lakes,atmospheric change; cyanobacteria; dissolved organic matter; food webs; lake; mercury; northern,21,12,18181412.0868207
102,2010,Communicating with the public: opportunities and rewards for individual ecologists,NA,13,10,18180816.5813738
103,2017,Decadal ecosystem response to an anomalous melt season in a polar desert in Antarctica,NA,13,12,18157351.567038
104,2015,Greenness indices from digital cameras predict the timing and seasonal dynamics of canopy-scale photosynthesis,Deciduous broadleaf forest; Digital repeat photography; Evergreen needleleaf forest; Grassland; Gross primary productivity; PhenoCam; Phenology; Photosynthesis; Seasonality,24,20,18157351.567038
105,2016,Plant community and soil chemistry responses to long-term nitrogen inputs drive changes in alpine bacterial communities,16S rRNA; Alpine tundra; N-deposition; Nutrients; Plant-microbe interactions; Soil bacterial communities,6,5,18152788.8283687
106,2014,Impact of fire on active layer and permafrost microbial communities and metagenomes in an upland Alaskan boreal forest,boreal forest; climate change; metagenomics; microbial community response; permafrost; wildfire,9,8,18152788.8283687
107,2009,Climatic drivers of hemispheric asymmetry in global patterns of ant species richness,Biodiversity; Climate change; Eocene; Formicidae; Latitudinal gradient,29,21,18142474.5274216
108,2012,The biogeography and filtering of woody plant functional diversity in North and South America,Biogeography; Functional diversity; Functional traits; Latitudinal gradient; Species richness,29,23,18141061.2864857
109,2014,Estimated stocks of circumpolar permafrost carbon with quantified uncertainty ranges and identified data gaps,NA,17,14,18140550.5069589
110,2018,Temporal heterogeneity increases with spatial heterogeneity in ecological communities,CommDyn Database; community dynamics; freshwater ecosystems; heterogeneity; lifespan; species abundance; terrestrial ecosystems,14,12,18123277.1511405
111,1984,Sex differences in the ontogeny of social behavior in pikas: possible relationships to dispersal and territoriality,NA,2,2,18123277.1511405
112,2005,Statistics of extremes: modeling ecological disturbances,Generalized extreme value distribution; Generalized Pareto distribution; Paleoecology; Peaks over threshold; Return level; Return period; Sediment accumulation,3,3,18123277.1511405
113,2016,Nonnative forest insects and pathogens in the United States: Impacts and policy options,Disease; Forest; Insect; Invasive; Pathogen; Policy,16,11,18110116.3164993
114,2016,Few multiyear precipitation-reduction experiments find a shift in the productivity-precipitation relationship,aboveground productivity; drought; precipitation; precipitation-reduction experiments; spatial fit; temporal fit,23,16,18108741.7704679
115,2014,Anthropogenic-based regional-scale factors most consistently explain plot-level exotic diversity in grasslands,Anthropogenic disturbance; Environmental heterogeneity; Exotic plant species; Nutnet (Nutrient Network); Productivity; Scale dependency; Species diversity,22,18,18106049.3427284
116,2010,Consistent effects of nitrogen fertilization on soil bacterial communities in contrasting systems,16S rRNA genes; Microbial ecology; N fertilization; Nitrogen; Pyrosequencing; Soil bacteria; Soil bacterial diversity; Soil microbiology,5,5,18102134.7499719
117,2012,"Comparative metagenomic, phylogenetic and physiological analyses of soil microbial communities across nitrogen gradients",nitrogen fertilization; pyrosequencing; shotgun metagenomics; soil bacteria; soil carbon dynamics,6,6,18102134.7499719
118,2012,Global patterns of stream detritivore distribution: implications for biodiversity loss in changing climates,Detritus; Diversity; Guild; Latitudinal gradient; Leaf litter; Shredders; Species richness; Stream ecosystems; Trophic diversity,32,30,18065860.3792449
119,2018,Solar-induced chlorophyll fluorescence is strongly correlated with terrestrial photosynthesis for a wide variety of biomes: First global analysis based on OCO-2 and flux tower observations,carbon cycle; carbon flux; chlorophyll fluorescence; eddy covariance; gross primary productivity; MODIS; OCO-2; vegetation type,15,13,18064414.024589
120,2012,"Reconciling estimates of the contemporary North American carbon balance among terrestrial biosphere models, atmospheric inversions, and a new approach for estimating net ecosystem exchange from inventory-based data",Agriculture; Carbon cycle; Climate change; CO 2 emissions; CO 2 sinks; Forests; Inventory; Modeling; North America,16,12,18057680.4595543
121,2017,Daily variation in net primary production and net calcification in coral reef communities exposed to elevated pCO2.,NA,4,3,18049369.0408221
122,2017,Coral calcifying fluid pH is modulated by seawater carbonate chemistry not solely seawater pH.,Calcification; Dissolved inorganic carbon; Ocean acidification; Protons; Total alkalinity,9,5,18049369.0408221
123,2006,From LTER to LTSER: Conceptualizing the Socioeconomic Dimension of Long-term Socioecological Research,Communication; Governance; Land use; Long-term ecological research (LTER); Long-term socioecological research (LTSER); Scale; Society-nature interaction; Socioecological metabolism; Socioecological systems,20,18,18043553.0535021
124,2007,Sandy beaches at the brink,Biodiversity; Coastal conservation; Global change; Human impacts; Sandy beaches,8,8,18035574.5502988
125,2016,Beyond arctic and alpine: the influence of winter climate on temperate ecosystems,Critical climate periods; Ecosystem stability; Global change; Temperate ecosystem; U.S. LTER Network; Winter,12,11,18024042.1292234
126,2011,Effects of nitrogen deposition and empirical nitrogen critical loads for ecoregions of the United States,Air pollution; Atmospheric N deposition; Biodiversity; Community shifts; Natural resource protection; Nitrate leaching; Nitrogen saturation; Plant nitrogen cycling; Vegetation type conversion,23,19,18023306.0970339
127,2016,The effect of demographic correlations on the stochastic population dynamics of perennial plants,Demographic buffering; Demographic correlation; Environmental stochasticity; Generalized linear mixed models (GLMM); Hierarchical Bayes; Integral projection model (IPM); Stochastic population growth rate,11,8,18018297.806298
128,2016,Variation of tropical forest assembly processes across regional environmental gradients,Abiotic filtering; Competition; Functional diversity; LMA; Maximum height; Wood density,6,5,18018297.806298
129,2010,Albedo estimates for land surface models and support for a new paradigm based on foliage nitrogen concentration,Albedo; Nitrogen; Vegetation,23,20,17981816.9204997
130,2014,Modelling the effects of the mountain pine beetle on snowmelt in a subalpine forest,Mountain pine beetle; Snow-vegetation interactions; Snowmelt modeling; Tree death,4,4,17977825.2763615
131,2018,Rising synchrony controls western North American ecosystems,El Niño Southern Oscillation; Moran effect; North Pacific High; synchrony,11,10,17977640.6389524
132,2007,Effects of large-scale disturbance on metacommunity structure of terrestrial gastropods: temporal trends in nestedness,NA,3,4,17938800.7936245
133,2007,Cross-scale responses of biodiversity to hurricane and anthropogenic disturbance in a tropical forest,Biodiversity; Gastropods; Historic land use; Nestedness; Puerto Rico; Spatial heterogeneity; Species diversity; Species richness; Succession; Temporal heterogeneity; Tropical forest,6,5,17938800.7936245
134,2005,Vegetation change: a reunifying concept in plant ecology,Climate change; Gap dynamics; Invasion ecology; Patch dynamics; Succession; Vegetation change,15,13,17930246.2041852
135,2006,Land Use Change And Nitrogen Enrichment Of A Rocky Mountain Watershed,Algae; Land use; N enrichment; N isotopes; Nitrate; Streams; Wastewater,3,2,17924345.8967483
136,2016,Frontiers in ecosystem ecology from a community perspective: The future is boundless and bright,drivers of change; ecological systems; human dimensions; networks; state changes; thresholds,12,10,17917053.8380229
137,2003,Limb deformities as an emerging parasitic disease in amphibians: evidence from museum specimens and resurvey data.,Amphibian decline; Amphibian deformities; Emerging disease; Malformations; Museum study; Parasites; Riberiroia; Trematode,4,4,17912139.2958613
138,2013,Changes in abiotic influences on seed plants and ferns during 18 years of primary succession on Puerto Rican landslides,Catchment; Determinants of plant community diversity and structure; Disturbance; Diversity; Erosion; Hurricane; Scrambling fern; Slope; Structural equation modelling; Tree fern; Tropical forest,7,6,17912056.8092584
139,2015,Determining the probability of cyanobacterial blooms: the application of Bayesian networks in multiple lake systems,Bayesian network; Climate change; Cyanobacterial blooms; Multiple systems; Nutrients; Risk assessment; Uncertainty,12,10,17909176.7804233
140,2009,Vulnerability and adaptation to climate-related fire impacts in rural and urban interior Alaska,Climate change; Interior Alaska; Rural; Urban; Vulnerability; Wildfire,12,9,17905935.049028
141,2014,An evolutionary perspective on leaf economics: phylogenetics of leaf mass per area in vascular plants,Brownian model; Functional trait; Ornstein-Uhlenbeck model; Phenotypic evolution,32,24,17896145.9673162
142,1985,Seed dispersal by nutcrackers causes multi-trunk growth form in pines,NA,2,2,17865143.1519862
143,2009,Assessment of lake sensitivity to acidic deposition in national parks of the Rocky Mountains,Acidic solutes; Alpine; Atmospheric deposition; GIS; Lake chemistry; Monitoring; Rocky Mountains; U.S. national parks; USA,6,4,17865143.1519862
144,2000,"Critical loads for inorganic nitrogen deposition in the Colorado Front Range, USA","Acidification of surface waters from N deposition; Colorado Front Range (Rocky Mountains, USA); Critical loads; Lakes; N deposition, determining critical loads wetfall; National parks; Streams; Wilderness areas",2,2,17865143.1519862
145,2015,Global-scale environmental control of plant photosynthetic capacity,Climate change; Climate variables; Earth System Models; Leaf nitrogen content; Photosynthetic capacity; Plant traits,12,13,17853738.5287496
146,2003,"Relationships at the aboveground-belowground interface: Plants, soil biota, and soil processes",Bacteria; C mineralization; Diversity; Functional groups; Nematodes; Nitrogen mineralization; Phospholipid fatty acids (PLFA); Plant richness; Protozoa; Resource heterogeneity; Resource quality; Soil ecosystem,7,5,17850994.9579181
147,1999,Generality of leaf trait relationships: a test across six biomes,Alpine; Desert; Leaf diffusive conductance; Leaf life span; Nitrogen; Photosynthesis; Scaling; Specific leaf area; Temperate forest; Tropical forest,7,7,17840364.3971305
148,1998,"Relationships of leaf dark respiration to leaf nitrogen, specific leaf area and leaf life-span: a test across biomes and functional groups",Functional groups; Leaf life-span; Nitrogen; Respiration; Specific leaf area,7,7,17840364.3971305
149,2017,A simulation-based approach to understand how metacommunity characteristics influence emergent biodiversity patterns,NA,3,2,17827096.8187131
150,2010,Experimentally increased snow accumulation alters soil moisture and animal community structure in a polar desert,Global change; Nematodes; Precipitation change; Snow fence; Soil biogeochemistry; Soil fauna,8,10,17827096.8187131
151,2016,Evidence for dispersal and habitat controls on pond diatom communities from the McMurdo Sound Region of Antarctica,Beta-diversity; Cape Royds; Distance effect; Dry Valley; Metacommunity; Species sorting,10,5,17827096.8187131
152,2014,Global-scale patterns of assemblage structure of soil nematodes in relation to climate and ecosystem properties,Biodiversity; Biogeography; Distribution; Family richness; Macroecology; Nematoda; Soil fauna,7,9,17816127.3419707
